 city_id,  city_name,  country_code,  lat,  lon,  cloudness,  wind_speed,  Max_temperature,  humidity,  date   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 2654970,  Brae,  GB,                  60.4,  -1.35,                    64,  2.24,  39.2,                100,  1545513600   
 1106677,  Bambous  Virieux,  MU,                  -20.34,  57.76,                    75,  17.22,  78.8,                83,  1545512400   
 2084442,  Vanimo,  PG,                  -2.67,  141.3,                    48,  8.72,  83.02,                100,  1545515845   
 6167817,  Torbay,  CA,                  47.66,  -52.73,                    90,  24.16,  33.8,                95,  1545512400   
 1242110,  Kalmunai,  LK,                  7.42,  81.82,                    88,  2.68,  74.02,                100,  1545515850   
 6165406,  Thompson,  CA,                  55.74,  -97.86,                    90,  10.29,  3.2,                71,  1545512400   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 2142316,  Yeppoon,  AU,                  -23.13,  150.74,                    75,  12.75,  75.2,                78,  1545514200   
 3372707,  Ribeira  Grande,  PT,                  38.52,  -28.7,                    90,  5.82,  57.2,                82,  1545512400   
 1803331,  Linxia,  CN,                  35.6,  103.21,                    24,  1.12,  2.06,                65,  1545515862   
 1259385,  Port  Blair,  IN,                  11.67,  92.75,                    36,  10.29,  82.25,                100,  1545515864   
 4020109,  Atuona,  PF,                  -9.8,  -139.03,                    48,  14.32,  78.2,                100,  1545515494   
 591476,  Kose,  EE,                  59.18,  25.17,                    90,  5.82,  17.6,                92,  1545513600   
 2022572,  Khatanga,  RU,                  71.98,  102.47,                    48,  17.22,  -18.51,                81,  1545515628   
 1067565,  Beloha,  MG,                  -25.17,  45.06,                    0,  7.38,  67.9,                74,  1545515580   
 2028164,  Deputatskiy,  RU,                  69.3,  139.9,                    20,  2.91,  -41.14,                0,  1545515748   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 3836669,  San  Rafael,  AR,                  -34.61,  -68.33,                    44,  3.91,  81.49,                33,  1545515752   
 2450173,  Taoudenni,  ML,                  22.68,  -3.98,                    0,  12.19,  59.3,                33,  1545515883   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 964432,  Port  Alfred,  ZA,                  -33.59,  26.89,                    44,  13.53,  74.29,                86,  1545515748   
 2191562,  Dunedin,  NZ,                  -45.87,  170.5,                    0,  3.91,  51.11,                87,  1545515879   
 1028434,  Quelimane,  MZ,                  -17.88,  36.89,                    75,  7.61,  78.8,                88,  1545512400   
 292968,  Abu  Dhabi,  AE,                  24.47,  54.37,                    40,  12.75,  69.8,                60,  1545512400   
 6185377,  Yellowknife,  CA,                  62.45,  -114.38,                    90,  4.7,  -0.41,                84,  1545512400   
 2015306,  Tiksi,  RU,                  71.64,  128.87,                    0,  10.4,  -32.37,                56,  1545515808   
 1015776,  Bredasdorp,  ZA,                  -34.53,  20.04,                    0,  1.12,  71.6,                83,  1545512400   
 3355672,  Luderitz,  NA,                  -26.65,  15.16,                    0,  20.47,  63.67,                65,  1545515904   
 2075265,  Busselton,  AU,                  -33.64,  115.35,                    0,  15.66,  64.25,                100,  1545515729   
 2159220,  Mackay,  AU,                  -21.15,  149.2,                    90,  10.29,  78.8,                83,  1545512400   
 1082243,  Ambilobe,  MG,                  -13.19,  49.05,                    80,  4.14,  74.24,                97,  1545515912   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3386213,  Touros,  BR,                  -5.2,  -35.46,                    68,  13.42,  80.81,                82,  1545515916   
 2075265,  Busselton,  AU,                  -33.64,  115.35,                    0,  15.66,  64.25,                100,  1545515729   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 3381041,  Mana,  GF,                  5.67,  -53.78,                    88,  5.26,  80.23,                69,  1545515924   
 4252975,  Barrow,  US,                  39.51,  -90.4,                    1,  11.41,  51.98,                65,  1545514500   
 2121373,  Seymchan,  RU,                  62.93,  152.39,                    64,  2.68,  -28.09,                43,  1545515928   
 5563839,  Fortuna,  US,                  40.6,  -124.16,                    75,  8.05,  48.02,                100,  1545514500   
 4032243,  Vaini,  TO,                  -21.2,  -175.2,                    20,  9.17,  84.2,                79,  1545512400   
 3393692,  Itarema,  BR,                  -2.92,  -39.92,                    56,  11.97,  82.7,                72,  1545515935   
 964420,  Port  Elizabeth,  ZA,                  -33.92,  25.57,                    80,  4.25,  71.27,                94,  1545515471   
 4030556,  Rikitea,  PF,                  -23.12,  -134.97,                    12,  17.67,  78.34,                100,  1545515465   
 3421719,  Narsaq,  GL,                  60.91,  -46.05,                    88,  2.57,  17.59,                78,  1545515708   
 654901,  Kajaani,  FI,                  64.22,  27.73,                    20,  4.7,  1.4,                84,  1545515400   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 535605,  Letnyaya  Stavka,  RU,                  45.43,  43.44,                    80,  8.16,  34.78,                93,  1545515947   
 3874787,  Punta  Arenas,  CL,                  -53.16,  -70.91,                    0,  33.33,  55.4,                47,  1545512400   
 3833367,  Ushuaia,  AR,                  -54.81,  -68.31,                    40,  35.57,  50,                76,  1545512400   
 2208248,  Kaitangata,  NZ,                  -46.28,  169.85,                    0,  4.59,  53.77,                81,  1545515496   
 286621,  Salalah,  OM,                  17.01,  54.1,                    0,  8.05,  71.6,                40,  1545511800   
 2411397,  Georgetown,  SH,                  -7.93,  -14.42,                    24,  16.89,  77.39,                100,  1545515643   
 5850554,  Makakilo  City,  US,                  21.35,  -158.09,                    1,  11.41,  80.96,                54,  1545512220   
 122397,  Neka,  IR,                  36.65,  53.3,                    0,  2.46,  31.99,                95,  1545515963   
 3423146,  Ilulissat,  GL,                  69.22,  -51.1,                    90,  4.7,  21.2,                92,  1545511800   
 610298,  Beyneu,  KZ,                  45.32,  55.19,                    32,  8.39,  9.67,                64,  1545515968   
 2654970,  Brae,  GB,                  60.4,  -1.35,                    64,  2.24,  39.2,                100,  1545513600   
 2077963,  Albany,  AU,                  -35.02,  117.88,                    40,  4.92,  60.8,                93,  1545514200   
 244878,  Biltine,  TD,                  14.53,  20.93,                    8,  13.76,  62.32,                25,  1545515974   
 582447,  Almaznyy,  RU,                  48.03,  40.04,                    90,  8.95,  33.8,                100,  1545514200   
